Topic:;news;politics;environment;life;sport;culture;work;technology;psychology;science
news;1;0.03777971;0.03250804;0.03390132;0.03278662;0.03588643;0.03176862;0.03080428;0.03356927;0.03302886
politics;0.03777971;1;0.03183343;0.03447734;0.03309675;0.03539078;0.03065409;0.02933525;0.03430024;0.03306426
environment;0.03250804;0.03183343;1;0.0305245;0.0298791;0.03032286;0.02942253;0.02834143;0.02999195;0.03187476
life;0.03390132;0.03447734;0.0305245;1;0.03392291;0.03506982;0.030757;0.028457;0.03499466;0.03326849
sport;0.03278662;0.03309675;0.0298791;0.03392291;1;0.03341051;0.02927075;0.02826287;0.03294165;0.03276248
culture;0.03588643;0.03539078;0.03032286;0.03506982;0.03341051;1;0.03092471;0.02915404;0.03450672;0.03305294
work;0.03176862;0.03065409;0.02942253;0.030757;0.02927075;0.03092471;1;0.02867457;0.03008018;0.02951831
technology;0.03080428;0.02933525;0.02834143;0.028457;0.02826287;0.02915404;0.02867457;1;0.02868;0.0294387
psychology;0.03356927;0.03430024;0.02999195;0.03499466;0.03294165;0.03450672;0.03008018;0.02868;1;0.03329847
science;0.03302886;0.03306426;0.03187476;0.03326849;0.03276248;0.03305294;0.02951831;0.0294387;0.03329847;1